Product ID,Active (0/1),Name *,"Categories (x,y,z...)",Price tax excluded,Tax rules ID,Price tax included,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,MPN,Ecotax,Width,Height,Depth,Weight,Delivery time of in-stock products,Delivery time of out-of-stock products with allowed orders,Quantity,Minimal quantity,Low stock level,Receive a low stock alert by email,Visibility,Additional shipping cost,Unity,Unit price,Summary,Description,"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,"Available for order (0 = No, 1 = Yes)",Product available date,Product creation date,"Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)",Feature(Name:Value:Position),"Available online only (0 = No, 1 = Yes)",Condition,"Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)",Out of stock action,Virtual product,File URL,Number of allowed downloads,Expiration date,Number of days,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,"Acessories  (x,y,z...)"
186,1,Iberico Pork Salchichon Cured Sausage Capa Negra 1/2,Iberico Products,59,,59,0,,,,,,,,Capa Negra,,,,,,,,500,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
187,1,Iberico Pork Salchichon Cured Sausage Capa Negra 1/2 by kg hand cutted,Iberico Products,80,,80,0,,,,,,,,Capa Negra,,,,,,,,500,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
188,1,Iberico Pork Chorizo Cured Sausage 1/2,Iberico Products,59,,59,0,,,,,,,,Capa Negra,,,,,,,,500,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
189,1,Iberico Pork Chorizo Cured Sausage 1/2 by kg hand cutted,Iberico Products,80,,80,0,,,,,,,,Capa Negra,,,,,,,,500,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1,MILK CHOCOLATE 42%,Sweet Snacks,19,,19,0,,,,,,,,Pancracio,,,,,,,,100,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
192,1,INTENSE COCOA 80% - DARK CHOCOLATE,Sweet Snacks,19,,19,0,,,,,,,,Pancracio,,,,,,,,100,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
193,1,RASPBERRY AND ROSES - DARK CHOCOLATE BAR,Sweet Snacks,19,,19,0,,,,,,,,Pancracio,,,,,,,,100,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
194,1,ALMOND WITH ORANGE - MILK CHOCOLATE BAR,Sweet Snacks,19,,19,0,,,,,,,,Pancracio,,,,,,,,100,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
195,1,LEMON AND MINT - DARK CHOCOLATE BAR,Sweet Snacks,19,,19,0,,,,,,,,Pancracio,,,,,,,,100,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
196,1,MILK CHOCOLATE 42%,Sweet Snacks,12,,12,0,,,,,,,,Pancracio,,,,,,,,40,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
197,1,INTENSE COCOA 80% - DARK CHOCOLATE,Sweet Snacks,12,,12,0,,,,,,,,Pancracio,,,,,,,,40,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
198,1,RASPBERRY AND ROSES - DARK CHOCOLATE BAR,Sweet Snacks,12,,12,0,,,,,,,,Pancracio,,,,,,,,40,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
199,1,ALMOND WITH ORANGE - MILK CHOCOLATE BAR,Sweet Snacks,12,,12,0,,,,,,,,Pancracio,,,,,,,,40,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
200,1,LEMON AND MINT - DARK CHOCOLATE BAR,Sweet Snacks,12,,12,0,,,,,,,,Pancracio,,,,,,,,40,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
201,1,LUXURY BOX - CARAMELISED ALMONDS,Sweet Snacks,59,,59,0,,,,,,,,Pancracio,,,,,,,,140,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
202,1,LUXURY BOX - CARAMELISED HAZELNUTS,Sweet Snacks,59,,59,0,,,,,,,,Pancracio,,,,,,,,140,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
